,dipole_smiles,G_act_min,G_act_mean,G_act_st_dev,G_r_min,G_r_mean,G_r_std_dev
150,CNC(=O)[N-][N+](C)=C(C)c1ccccc1,20.547964,31.79358638095238,4.839972581544522,-20.070608,-5.791512357142857,6.18310907427391
151,CNC(=O)[C-](C#N)[NH+]=C(C(=O)OC)C(=O)OC,15.590017,21.85928066666667,3.7512256052383517,-28.30547,-12.679729538095238,7.308804537495108
152,COC(=O)[N-][O+]=C(C)c1ccccc1,14.752774,21.198903285714284,3.4416898676464895,-33.78231,-17.692247619047617,7.249940520933061
153,CNC(=O)[N-][NH+]=CC#N,19.59425,27.007366666666663,3.1665279933111807,-26.6229,-12.771726523809523,6.138141607337198
154,CNC(=O)C(C)=[N+](C)[C-](C)c1ccccc1,13.132139,29.101111380952382,5.752597911995835,-39.419376,-22.635872666666664,7.409614186095597
155,C=[NH+][N-]C(=O)OC,18.15201,25.693775238095245,3.007857850198458,-23.876406,-12.996614119047619,5.216623164766371
156,COC(=O)C(C#N)=[O+][CH-]C#N,2.1006699,8.784704939130435,6.545607225816888,-58.804344,-41.75603234173912,14.719967596801887
157,CC(=O)C(=[O+][C-](C(C)=O)c1ccccc1)c1ccccc1,6.7376595,14.6292214,3.3682400612990877,-50.49073,-34.122345,8.678912799644905
158,CNC(=O)C(C#N)=[O+][C-](C#N)c1ccccc1,5.960065,9.894845742857143,2.3717065840893903,-50.820427,-35.5963110952381,7.217166659206229
159,COC(=O)C=[O+][CH-]C(C)=O,5.2355905,11.82573063043478,5.583781017431937,-59.54366,-44.393479695652175,12.112274879818397
160,CNC(=O)C(C)=[NH+][C-](C)c1ccccc1,6.899176,23.65988071428571,6.01226270635365,-33.47019,-17.173065828571424,6.724791423671205
161,CNC(=O)C(c1ccccc1)=[N+](C)[CH-]c1ccccc1,3.942166,19.607269119047622,5.774950338138636,-38.997997,-24.857087952380944,6.287411858202979
162,COC(=O)[C-](C)[N+](C)=C(c1ccccc1)c1ccccc1,22.766096,35.89987655,5.749958208935632,-28.636896,-11.50978348,7.765495098665212
163,CC(=O)[N-][N+](C)=C(C(C)=O)c1ccccc1,19.644573,28.166551904761906,4.810510484314683,-24.618069,-8.454521836190478,7.454082680266962
164,CC(=O)[N-][O+]=C(C#N)C#N,3.3367584,8.762195109523809,2.7213986974845907,-52.29901,-40.01979023809523,7.009991692859472
165,CNC(=O)[C-]([O+]=C(C#N)C#N)C(C)=O,3.4364707,8.156247985714286,2.717849989830898,-53.953697,-40.215050238095245,7.26125493490327
166,CNC(=O)C(=[O+][C-](C(C)=O)C(=O)NC)C(=O)OC,6.77865,13.099331069565217,7.495536282985643,-58.389122,-39.121967600000005,15.122019267150064
167,CC(=O)[C-](C#N)[O+]=Cc1ccccc1,7.0415597,13.524913414285715,3.321975460033181,-38.884388,-24.508244238095237,6.635628386562866
168,CNC(=O)C=[NH+][C-](C)C,3.6984253,19.378726966666665,6.077128792594525,-30.782284,-17.985139285714286,5.490831573633169
