,dipole
232,CNC(=O)C(=[NH+][C-](C#N)C(=O)NC)c1ccccc1
233,C[C-](C#N)[N+](C)=C(c1ccccc1)c1ccccc1
234,CNC(=O)C(=[NH+][C-](C)C)c1ccccc1
235,COC(=O)[C-](C#N)[N+](C)=C(C)C
236,CNC(=O)C(=[O+][C-](C(=O)NC)C(=O)NC)c1ccccc1
237,CNC(=O)[N-][N+](C)=C(C)C(=O)OC
238,C[C-](C#N)[NH+]=C(C#N)c1ccccc1
239,CNC(=O)C=[O+][C-](C#N)C(=O)OC
240,COC(=O)C(=[O+][C-](C(C)=O)C(=O)OC)c1ccccc1
241,CNC(=O)[N-][O+]=C(C)c1ccccc1
242,CC=[N+](C)[C-](C(=O)OC)c1ccccc1
243,CNC(=O)[C-]([NH+]=C(C#N)C#N)C(=O)OC
244,CNC(=O)C(=[NH+][N-]C(C)=O)c1ccccc1
245,CC(=O)C=[NH+][N-]C(C)=O
246,CNC(=O)C(=[O+][C-](C(C)=O)C(=O)OC)C(=O)OC
247,CC(=O)C(c1ccccc1)=[N+](C)[C-](C#N)C(C)=O
248,CC(=O)[C-](C)[O+]=C(C)C#N
249,CNC(=O)[C-]([O+]=C(C#N)c1ccccc1)C(=O)OC
250,COC(=O)C(=[NH+][CH-]C#N)C(C)=O
251,C=[O+][CH-]C(C)=O
252,CC(=O)C=[N+](C)[C-](C(C)=O)C(C)=O
253,COC(=O)C(=[O+][CH-]C#N)c1ccccc1
254,CNC(=O)C(=[O+][NH-])c1ccccc1
255,CNC(=O)[N-][N+](C)=C(C#N)C#N
256,CNC(=O)[C-](C#N)[O+]=Cc1ccccc1
257,COC(=O)C=[O+][C-](C)C
258,C[C-](C)[NH+]=C(C#N)C#N
259,CNC(=O)C(C)=[N+](C)[C-](c1ccccc1)c1ccccc1
260,CNC(=O)[C-]([O+]=C(C(=O)OC)C(=O)OC)C(C)=O
261,C=[N+](C)[C-](C)C(C)=O
262,COC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)c1ccccc1
263,CC(=[O+][N-]c1ccccc1)c1ccccc1
264,COC(=O)C=[NH+][N-]C(=O)OC
265,CNC(=O)N=[N+](C)[N-]c1ccccc1
266,CNC(=O)[C-]([NH+]=CC#N)C(C)=O
267,CNC(=O)[CH-][N+](C)=C(C)C(=O)OC
268,CC(c1ccccc1)=[N+](C)[CH-]C#N
269,COC(=O)[C-]([NH+]=C(C#N)C(C)=O)c1ccccc1
270,CNC(=O)[C-]([NH+]=CC(=O)OC)c1ccccc1
271,CC(=[O+][C-](C)C)c1ccccc1
272,CNC(=O)[C-]([NH+]=C(C)C(=O)OC)C(=O)NC
273,C=[NH+][CH-]C(=O)OC
274,CC(=O)[N-][N+](C)=C(C)C
275,COC(=O)C(=[O+][C-](C)C(C)=O)c1ccccc1
276,CC(=O)C(c1ccccc1)=[N+](C)[C-](C)C(C)=O
277,C[N-][NH+]=C(C#N)c1ccccc1
278,CNC(=O)[C-](c1ccccc1)[N+](C)=C(C(=O)OC)C(=O)OC
279,COC(=O)[C-](C)[O+]=Cc1ccccc1
280,C[N-][O+]=C(C)C#N
281,CNC(=O)C(C)=[O+][CH-]C(=O)OC
282,CNC(=O)[N-][O+]=C(C(=O)NC)c1ccccc1
283,COC(=O)C=[NH+][N-]C(C)=O
284,CC(=O)C=[O+][CH-]c1ccccc1
285,c1ccc(C(=[O+][C-](c2ccccc2)c2ccccc2)c2ccccc2)cc1
286,CNC(=O)C(C(C)=O)=[N+](C)[CH-]C(=O)OC
287,CNC(=O)C(C(C)=O)=[N+](C)[C-](C)C(=O)NC
288,C[C-]([NH+]=C(C#N)C#N)c1ccccc1
289,CNC(=O)[C-](C#N)[NH+]=C(C)C(=O)OC
290,N#C[CH-][NH+]=C(c1ccccc1)c1ccccc1
291,COC(=O)C(C#N)=[NH+][NH-]
292,CC(=O)C(C)=[NH+][N-]c1ccccc1
293,CNC(=O)C=[NH+][C-](C(=O)NC)C(=O)OC
294,CNC(=O)C(C#N)=[NH+][C-](C#N)c1ccccc1
295,CNC(=O)[N-][N+](C)=C(C(=O)NC)C(=O)OC
296,COC(=O)C(C)=[NH+][C-](C(C)=O)c1ccccc1
297,COC(=O)C=[NH+][NH-]
298,CC(=O)C(C)=[NH+][O-]
299,CNC(=O)[C-](C#N)[N+](C)=C(C#N)c1ccccc1
300,CC(c1ccccc1)=[N+](C)[NH-]
301,C=[O+][N-]c1ccccc1
302,CNC(=O)C(C#N)=[NH+][C-](C#N)C(=O)OC
303,CNC(=O)[C-](c1ccccc1)[N+](C)=C(C#N)C#N
304,COC(=O)C(C(C)=O)=[N+](C)[CH-]C(C)=O
305,COC(=O)[C-](C)[NH+]=C(C)C(C)=O
306,CNC(=O)C(C#N)=[N+](C)[C-](C#N)C(=O)NC
307,CNC(=O)C=[NH+][N-]C(=O)NC
308,CC(=O)[C-](C)[O+]=C(c1ccccc1)c1ccccc1
309,C=[N+](C)[N-]c1ccccc1
310,CC(C)=[N+](C)[CH-]c1ccccc1
311,C[N+](=Cc1ccccc1)[N-]c1ccccc1
312,CNC(=O)N=[NH+][NH-]
313,CNC(=O)[N-][NH+]=NC(=O)OC
314,CNC(=O)C(C#N)=[N+](C)[C-](C(C)=O)C(C)=O
315,CNC(=O)[N-][N+](C)=Cc1ccccc1
316,CNC(=O)C=[NH+][N-]C#N
317,CNC(=O)[CH-][N+](C)=C(C#N)C#N
318,C[N-][N+](C)=C(C(C)=O)c1ccccc1
319,CNC(=O)[C-]([NH+]=C(C(=O)OC)C(=O)OC)c1ccccc1
320,C[N-][O+]=Cc1ccccc1
321,C[CH-][NH+]=C(C(=O)NC)c1ccccc1
322,CNC(=O)C(=[O+][C-](C(C)=O)C(=O)OC)c1ccccc1
323,COC(=O)C(c1ccccc1)=[N+](C)[C-](C(=O)OC)c1ccccc1
324,COC(=O)C(=[NH+][C-](C)c1ccccc1)C(=O)OC
325,CNC(=O)C(C(=O)NC)=[N+](C)[CH-]C(=O)OC
326,C=[O+][C-](c1ccccc1)c1ccccc1
327,CNC(=O)[C-]([NH+]=C(c1ccccc1)c1ccccc1)C(=O)NC
328,CC=[O+][C-](C)C(=O)OC
329,CNC(=O)C(C#N)=[N+](C)[CH-]C(C)=O
330,COC(=O)[C-](C(=O)OC)[N+](C)=C(C)C
331,CNC(=O)[CH-][O+]=C(C#N)C(=O)NC
332,CC(=O)[C-]([NH+]=C(c1ccccc1)c1ccccc1)c1ccccc1
333,C[CH-][O+]=C(C(C)=O)C(=O)NC
334,COC(=O)C(C)=[N+](C)[C-](C(=O)OC)C(=O)OC
335,CNC(=O)C(C#N)=[NH+][C-](C)C
336,C[N-][N+](C)=CC(C)=O
337,CNC(=O)[C-](C)[NH+]=C(C#N)C(=O)OC
338,CC(C#N)=[N+](C)[N-]c1ccccc1
339,COC(=O)C(C)=[N+](C)[C-](C)C#N
340,CNC(=O)C(C)=[N+](C)[N-]c1ccccc1
341,C[C-]([O+]=C(c1ccccc1)c1ccccc1)c1ccccc1
342,CNC(=O)C(C)=[O+][C-](C(C)=O)C(=O)NC
343,CC(=[O+][NH-])c1ccccc1
344,COC(=O)[N-][NH+]=C(C)C#N
345,COC(=O)[C-](C#N)[O+]=CC#N
346,CNC(=O)C(=[O+][C-](C)c1ccccc1)C(=O)OC
347,COC(=O)C(=[O+][C-](c1ccccc1)c1ccccc1)C(=O)OC
348,CNC(=O)[C-]([O+]=C(C(C)=O)c1ccccc1)C(C)=O
349,CNC(=O)[CH-][NH+]=C(C)C(C)=O
350,CC(=O)[CH-][NH+]=C(C)c1ccccc1
351,CNC(=O)[C-](C)[NH+]=CC(C)=O
352,CNC(=O)C(C(C)=O)=[N+](C)[C-](C#N)C(=O)NC
353,CNC(=O)C(C)=[NH+][C-](C(=O)OC)C(=O)OC
354,COC(=O)C=[O+][C-](C(C)=O)C(=O)OC
355,C[CH-][O+]=C(C(=O)OC)c1ccccc1
356,CC(=O)C=[N+](C)[C-](c1ccccc1)c1ccccc1
357,[CH2-][NH+]=C(C)C#N
358,COC(=O)C(=[NH+][C-](C)C#N)C(=O)OC
359,CNC(=O)[C-](C)[NH+]=C(C#N)c1ccccc1
360,CNC(=O)[N-][NH+]=C(c1ccccc1)c1ccccc1
361,COC(=O)[C-](c1ccccc1)[N+](C)=C(C#N)c1ccccc1
362,CNC(=O)C(=[NH+][O-])C(=O)OC
363,CNC(=O)C(c1ccccc1)=[N+](C)[N-]C#N
364,COC(=O)[C-](C#N)[NH+]=C(c1ccccc1)c1ccccc1
365,COC(=O)[C-](C(=O)OC)[N+](C)=C(C#N)C#N
366,CNC(=O)C(C)=[NH+][NH-]
367,COC(=O)C(=[NH+][N-]C#N)c1ccccc1
368,CNC(=O)[N-][O+]=C(C)C(=O)NC
369,COC(=O)C(C(C)=O)=[N+](C)[C-](C#N)C(C)=O
370,C[N-][O+]=Nc1ccccc1
371,CNC(=O)[C-](C#N)[O+]=C(C#N)C#N
372,COC(=O)C=[O+][CH-]C(=O)OC
373,COC(=O)[C-](C(=O)OC)[N+](C)=CC#N
374,CC(=[O+][C-](C#N)c1ccccc1)c1ccccc1
375,CNC(=O)[C-](C(=O)NC)[N+](C)=CC(C)=O
376,CNC(=O)C(=[NH+][C-](C)C(C)=O)C(C)=O
377,CC(=O)[CH-][NH+]=C(C#N)C(C)=O
378,CNC(=O)[N-][O+]=C(C(C)=O)C(=O)NC
379,C[CH-][NH+]=C(C#N)C(=O)NC
380,CN=[O+][N-]C
381,CC(=O)[N-][NH+]=C(C#N)C#N
382,CNC(=O)C(=[NH+][C-](C)C#N)C(=O)NC
383,CNC(=O)[C-]([NH+]=C(c1ccccc1)c1ccccc1)c1ccccc1
384,CC(=O)C(C)=[NH+][N-]C#N
385,COC(=O)C(C)=[O+][C-](C(=O)OC)c1ccccc1
386,CC=[NH+][C-](C(C)=O)C(C)=O
387,CNC(=O)[C-](C#N)[NH+]=C(C#N)c1ccccc1
388,COC(=O)[C-](C(=O)OC)[N+](C)=C(C#N)c1ccccc1
389,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C#N)C#N
390,CNC(=O)[CH-][NH+]=C(C)C#N
391,CNC(=O)[C-](C#N)[O+]=C(C(C)=O)C(=O)OC
392,CNC(=O)C(=[NH+][C-](C(C)=O)c1ccccc1)C(=O)NC
