,dipole_smiles
170,CNC(=O)[C-](C)[N+](C)=C(C(C)=O)C(C)=O
171,COC(=O)[C-]([N+]#N)C(C)=O
172,COC(=O)[c-]1[nH+]noc1=O
173,CC(=O)N=[N+](C)[O-]
174,CC(=O)[c-]1[nH+]c(C)oc1=O
175,CNC(=O)[C-](C(C)=O)[N+](C)=C(C)C(C)=O
176,CC(=O)C(C#N)=[NH+][C-](c1ccccc1)c1ccccc1
177,COC(=O)C(C(C)=O)=[N+](C)[C-](C(=O)OC)c1ccccc1
178,CNC(=O)[C-](C#N)[N+]#N
179,CN=[N+](C)[O-]
180,COC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(=O)OC
181,CC(=O)C(C(C)=O)=[N+](C)[C-](C)C
182,CNC(=O)C(c1ccccc1)=[N+](C)[C-](c1ccccc1)c1ccccc1
183,CNC(=O)[N-][NH+]=Nc1ccccc1
184,CNC(=O)[C-](C(=O)NC)[N+](C)=C(C)c1ccccc1
185,Cc1oc(=O)[c-](C#N)[n+]1C
186,COC(=O)[c-]1c(=O)on[n+]1C
187,COC(=O)C(C(=O)OC)=[N+](C)[C-](C)c1ccccc1
188,CNC(=O)[C-]([N+]#N)C(=O)OC
189,C[N+](=C(c1ccccc1)c1ccccc1)[C-](C#N)C#N
190,CN=[NH+][N-]C(C)=O
191,COC(=O)[C-](C(C)=O)[N+](C)=C(c1ccccc1)c1ccccc1
192,COC(=O)c1oc(=O)[n-][n+]1C
193,COC(=O)[C-]([N+]#N)C(=O)OC
194,CC(=O)[C-]([N+]#N)C(C)=O
195,CNC(=O)[C-]([N+]#N)C(C)=O
196,C[c-]1[nH+]noc1=O
197,COC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)c1ccccc1
198,COC(=O)[C-]([NH+]=C(c1ccccc1)c1ccccc1)C(C)=O
199,O=c1on[nH+][c-]1-c1ccccc1
200,CC(=O)[C-](c1ccccc1)[N+](C)=C(C)c1ccccc1
201,CC(=O)[N-][N+]#N
202,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(=O)NC
203,CN=[N+](C)[N-]C(=O)OC
204,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C(=O)NC)C(=O)NC
205,COC(=O)[C-](C)[N+](C)=C(C(C)=O)C(C)=O
206,CNC(=O)C(C)=[N+](C)[C-](C(=O)NC)C(=O)OC
207,CC(=O)[C-](C#N)[NH+]=C(c1ccccc1)c1ccccc1
208,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(=O)NC)C(=O)NC
209,CNC(=O)[C-](C(C)=O)[N+](C)=C(c1ccccc1)c1ccccc1
210,CN=[NH+][N-]C(=O)OC
